timestamp,camera,prediction,body_angle_y,knee_angle,z_variance,height_diff,status
2025-06-24 16:00:06,Camera 2,0,33.8,163.0,0.375,0.289,STANDING
2025-06-24 16:00:06,Camera 2,0,32.8,163.7,0.425,0.277,STANDING
2025-06-24 16:00:06,Camera 2,0,32.5,163.6,0.425,0.275,STANDING
2025-06-24 16:00:06,Camera 2,0,32.7,170.4,0.432,0.31,STANDING
2025-06-24 16:00:06,Camera 2,0,32.0,168.1,0.445,0.291,STANDING
2025-06-24 16:00:06,Camera 2,0,31.6,171.2,0.443,0.316,STANDING
2025-06-24 16:00:06,Camera 2,0,32.1,171.3,0.444,0.312,STANDING
2025-06-24 16:00:06,Camera 2,0,32.2,172.1,0.456,0.303,STANDING
2025-06-24 16:00:06,Camera 2,0,32.2,172.6,0.456,0.298,STANDING
2025-06-24 16:00:07,Camera 2,0,32.5,172.5,0.462,0.292,STANDING
2025-06-24 16:00:07,Camera 2,0,34.5,172.2,0.463,0.284,STANDING
2025-06-24 16:00:07,Camera 2,0,34.8,174.3,0.451,0.286,STANDING
2025-06-24 16:00:07,Camera 2,0,35.9,173.1,0.46,0.269,STANDING
2025-06-24 16:00:07,Camera 2,0,35.5,172.6,0.454,0.266,STANDING
2025-06-24 16:00:07,Camera 2,0,34.9,173.9,0.451,0.267,STANDING
2025-06-24 16:00:07,Camera 2,0,32.9,173.7,0.428,0.278,STANDING
2025-06-24 16:00:07,Camera 2,0,32.2,174.1,0.401,0.287,STANDING
2025-06-24 16:00:07,Camera 2,0,32.5,173.1,0.395,0.283,STANDING
2025-06-24 16:00:07,Camera 2,0,33.7,173.4,0.385,0.3,STANDING
2025-06-24 16:00:07,Camera 2,0,33.9,173.4,0.385,0.311,STANDING
2025-06-24 16:00:07,Camera 2,0,34.9,172.9,0.344,0.328,STANDING
2025-06-24 16:00:07,Camera 2,0,33.5,172.2,0.332,0.331,STANDING
2025-06-24 16:00:07,Camera 2,0,31.7,168.7,0.348,0.354,STANDING
2025-06-24 16:00:07,Camera 2,0,31.7,172.5,0.307,0.396,STANDING
2025-06-24 16:00:07,Camera 2,0,32.8,173.6,0.334,0.389,STANDING
2025-06-24 16:00:07,Camera 2,0,33.2,176.4,0.342,0.371,STANDING
2025-06-24 16:00:07,Camera 2,0,35.9,175.4,0.396,0.363,STANDING
2025-06-24 16:00:07,Camera 2,0,35.4,170.8,0.39,0.397,STANDING
2025-06-24 16:00:07,Camera 2,0,34.9,176.8,0.335,0.416,STANDING
2025-06-24 16:00:07,Camera 2,0,34.8,176.1,0.318,0.4,STANDING
2025-06-24 16:00:07,Camera 2,0,34.4,174.9,0.312,0.402,STANDING
2025-06-24 16:00:07,Camera 2,0,31.7,157.8,0.277,0.434,STANDING
2025-06-24 16:00:07,Camera 2,0,29.6,156.1,0.246,0.454,STANDING
2025-06-24 16:00:07,Camera 2,0,28.2,151.0,0.187,0.463,STANDING
2025-06-24 16:00:07,Camera 2,0,27.0,142.7,0.147,0.459,STANDING
2025-06-24 16:00:07,Camera 2,0,26.1,136.8,0.165,0.46,STANDING
2025-06-24 16:00:07,Camera 2,0,26.1,133.3,0.18,0.454,STANDING
2025-06-24 16:00:08,Camera 2,0,26.3,132.8,0.181,0.451,STANDING
2025-06-24 16:00:08,Camera 2,0,27.7,132.8,0.173,0.429,STANDING
2025-06-24 16:00:08,Camera 2,0,28.5,148.5,0.172,0.398,STANDING
2025-06-24 16:00:08,Camera 2,0,33.1,148.5,0.153,0.366,STANDING
2025-06-24 16:00:08,Camera 2,0,32.9,143.9,0.219,0.329,STANDING
2025-06-24 16:00:08,Camera 2,0,34.9,143.1,0.221,0.323,STANDING
2025-06-24 16:00:08,Camera 2,0,36.7,143.5,0.226,0.31,STANDING
2025-06-24 16:00:08,Camera 2,0,36.4,146.2,0.231,0.319,STANDING
2025-06-24 16:00:08,Camera 2,0,35.7,146.7,0.236,0.312,STANDING
2025-06-24 16:00:08,Camera 2,0,35.7,144.1,0.236,0.324,STANDING
2025-06-24 16:00:08,Camera 2,0,35.5,137.9,0.237,0.325,STANDING
2025-06-24 16:00:08,Camera 2,0,37.5,137.3,0.232,0.302,STANDING
2025-06-24 16:00:08,Camera 2,0,38.5,139.4,0.23,0.233,STANDING
2025-06-24 16:00:08,Camera 2,0,39.0,137.2,0.213,0.24,STANDING
2025-06-24 16:00:09,Camera 2,0.002,53.1,150.9,0.348,0.3,NO FALLEN
2025-06-24 16:00:09,Camera 2,0.002,49.6,162.8,0.4,0.303,NO FALLEN
2025-06-24 16:00:09,Camera 2,0.002,48.1,163.1,0.434,0.324,NO FALLEN
2025-06-24 16:00:10,Camera 2,0.002,45.4,163.6,0.435,0.324,NO FALLEN
2025-06-24 16:00:10,Camera 2,0.002,42.8,162.6,0.436,0.314,NO FALLEN
